section_code,code,label,description,buyer_rationale,applies_to,gap_code,sort_order
FIN,FIN-STMTS,"Monthly financial statements (36+ months)","Monthly income statements, balance sheets, and trial balances for the trailing three years plus year-to-date.","Buyers rebuild trends month by month; missing or inconsistent statements stall diligence and invite a lower opening offer.",all,STMT_INCOMPLETE,10
FIN,FIN-QOE,"EBITDA bridge & add-back schedule","A trailing-twelve-month EBITDA bridge itemizing owner comp normalization, personal expenses, one-time costs, and related-party items, each with support.","Every add-back a buyer can't substantiate is subtracted from the price; an undocumented recast is the single most common retrade.",all,ADDBACK_RISK,20
FIN,FIN-RECON,"Reconciliations & AR/AP aging","Bank reconciliations for the last twelve months and AR/AP aging as of the two most recent period-ends.","Unreconciled books signal that the reported numbers can't be trusted, pushing a buyer toward a full quality-of-earnings review.",all,RECON_GAP,30
FIN,FIN-TAX,"Tax filings & nexus exposure","Federal and state tax returns, and where the business collects/remits sales tax or has income-tax nexus, with any exemption certificates.","Unbooked multi-state tax exposure becomes an indemnity or escrow holdback that reduces cash at close.",all,,40
FIN,FIN-WORKINGCAP,"Working capital & inventory","Working-capital drivers and, where applicable, inventory policy, costing methodology, and balances.","A buyer sets a working-capital peg at close; undocumented drivers or weak inventory discipline become a negotiation fight.",all,,50
FIN,FIN-SYS,"Accounting system export & tool list","An accountant export/backup of the accounting system plus a list of any billing, order-management, or finance tools used alongside it.","Buyers assess how much of the finance function is systematized versus living in one person's spreadsheets.",all,,60
OPS,OPS-SUPPLIERS,"Vendor list with terms & lead times","Spend by vendor for the last three years with goods/services supplied, payment terms, lead times, and switching difficulty.","Vendor concentration and long lead times are continuity risks a buyer prices the same way as customer concentration.",all,,10
OPS,OPS-SINGLESOURCE,"Single-source & critical-vendor dependency","Critical or single-source vendors and providers, their terms and lead times, available alternatives, and any supply agreements.","A single sole-source vendor with no alternate is an enterprise-value risk and a favorite diligence probe.",all,,20
OPS,OPS-CAPACITY,"Capacity, bottlenecks & utilization","Actual versus practical capacity, known bottlenecks, and current utilization or throughput.","Buyers underwrite growth against real capacity; undocumented bottlenecks cap the upside they'll pay for.",all,,30
OPS,OPS-SOP,"Core-process SOPs & operating KPIs","Written SOPs for sales, delivery, invoicing, and vendor management, plus the dashboards/KPIs used to run the business.","Undocumented processes mean the business runs on tribal knowledge that may walk out the door post-close.",all,SOP_GAP,40
OPS,OPS-OWNER,"Owner-independence & absence plan","What happens to the business if the owner is unavailable for 90 days, and the intended post-close transition plan.","Owner dependence is the classic value-killer: a business that can't run without the seller commands a discount and heavy earnout.",all,OWNER_DEP,50
HR,HR-ORG,"Employee & contractor census","All employees and 1099 contractors with title, responsibilities, manager, compensation, hire date, and key-person flag.","The census is how a buyer maps who actually runs the business and what retention will cost.",all,,10
HR,HR-KEY,"Key-person retention & management depth","Which people are key to ongoing operations and whether each core function has a manager who could run it without the owner.","Thin management depth concentrated in a few people is a diligence red flag that drives retention packages and holdbacks.",all,MGMT_DEPTH,20
HR,HR-BENEFITS,"Benefit plans, handbook & HR policies","Healthcare and other benefit plan summaries, the employee handbook, and any written HR or safety policies.","Missing HR infrastructure signals compliance exposure a buyer will have to remediate on day one.",all,,30
HR,HR-ISSUES,"Employee disputes & workers-comp","Known employee disputes, workers'-compensation issues, and material performance matters to understand pre-close.","Undisclosed personnel liabilities surface in diligence and erode trust in every other representation.",all,,40
CUS,CUS-CONC,"Customer concentration","Revenue by top customers (top one and top five as a share of revenue) for the trailing period.","Concentration is the first thing a buyer stress-tests: lose the top account and the multiple compresses.",all,CUST_CONC,10
CUS,CUS-CONTRACTS,"Written customer contracts / MSAs","Signed customer contracts, MSAs, or retainers, with remaining term and any change-of-control clauses.","Revenue with no contract behind it is treated as at-risk and discounted; change-of-control clauses can transfer to the buyer.",all,CONTRACT_GAP,20
CUS,CUS-CHANNEL,"Channel & partner relationships","Relationships with resellers, distributors, referral partners, and other channel partners, including commission or exclusivity arrangements.","A partner who owns the last mile to the customer is a concentration risk that customer counts alone don't reveal.",all,,30
CUS,CUS-ISSUES,"Customer issues, returns & warranty","Material customer issues over the last three years: returns, discounts, payment problems, service and warranty cases.","Patterns in customer issues predict post-close churn and warranty cost the buyer would inherit.",all,,40
CUS,CUS-MKTG,"Marketing systems & analytics access","Access to analytics, ad accounts, CRM, and any agency reporting; the demand-generation stack.","Buyers verify the demand engine is a repeatable system, not one owner's personal network.",all,,50
PIP,PIP-CATALOG,"Offering catalog, pricing & specifications","Current products or services with pricing and configuration, plus specifications, BOMs, or scope-of-work documents as applicable.","A buyer needs the offering economics and specifications to model margin and confirm the offering is transferable.",all,,10
PIP,PIP-CERT,"Certifications, standards & compliance attestations","Product testing and safety certifications, or for a service business the professional licenses, security certifications, and standards the business attests to.","An unproven certification or compliance basis is a liability and, for regulated buyers, a hard diligence gate.",all,,20
PIP,PIP-WARRANTY,"Warranty, SLA & liability history","History of warranty or SLA claims by type, frequency, and cost, plus any product-liability, service-failure, or errors-and-omissions incidents.","Undisclosed liability exposure can survive the sale and become the buyer's problem — so it is priced conservatively.",all,,30
PIP,PIP-IP,"Company ownership of intellectual property","Confirmation that all patents, trademarks, software, designs, and domains are owned by the company (not a founder personally) with assignments and maintenance current.","IP sitting in a founder's name is a closing condition and a classic value-killer until it is formally assigned to the company.",all,,40
PIP,PIP-ROADMAP,"Offering roadmap & development pipeline","The development process, open projects, and any new products or services under consideration.","A stalled roadmap weakens the growth story a buyer is paying a forward multiple for.",all,,50
CMP,CMP-PERMITS,"Operating permits, licenses & OSHA","Current operating permits, licenses, and registrations, plus any OSHA, safety, or regulatory matters from the last three years.","Lapsed permits or open safety matters are compliance liabilities a buyer must clear before or at close.",all,,10
CMP,CMP-ENV,"Hazardous materials & environmental","Whether the facility handles hazardous materials, and any contamination, notices, remediation, or environmental concerns.","Environmental exposure can attach to the buyer and the property, so it is diligenced hard and escrowed.",all,,20
CMP,CMP-IT,"IT environment, security & software licensing","Software used and license terms, email/file storage, domain ownership, cloud versus on-prem, data-security posture, and any outside IT support.","Buyers confirm the systems, licenses, and domains transfer cleanly and that data-security exposure isn't a hidden liability.",all,,30
CMP,CMP-INS,"Insurance policies & loss runs","Current insurance policies and several years of loss runs, summarizing material claims and corrective actions.","Loss-run history reveals hidden operational risk and tells the buyer what coverage will cost post-close.",all,,40
CMP,CMP-LIT,"Litigation, investigations & audits","Past or present legal actions, tax audits, government investigations, or threatened claims involving the company or its principals.","Any undisclosed proceeding is a representation risk that can unwind trust across the entire transaction.",all,,50
LEG,LEG-CORP,"Corporate formation & good standing","Articles/certificate of formation, operating agreement or bylaws, and foreign-qualification registrations where applicable.","Clean corporate records are the baseline a buyer's counsel needs before they will paper a deal.",all,,10
LEG,LEG-CAP,"Cap table & buy-sell agreements","Equity ownership records and any shareholder, buy-sell, or equity-incentive agreements affecting ownership rights.","Ambiguous ownership or a missing buy-sell among co-owners can block a sale until it is resolved.",all,,20
LEG,LEG-LIENS,"Liens, encumbrances & debt schedule","Documents creating liens, mortgages, or security interests, plus bank/credit arrangements and guarantees.","Undisclosed liens and guarantees change what the buyer actually receives and must be cleared at close.",all,,30
LEG,LEG-CONTRACTS,"Material customer & supplier contracts","Copies of all material written agreements with customers and suppliers, and any oral/'soft' commitments.","Contracts that don't exist in writing can't be assigned; a buyer treats undocumented relationships as unstable.",all,CONTRACT_GAP,40
LEG,LEG-EMP,"Employment, non-compete & consulting agreements","Employment agreements, non-competes, non-solicits, and consulting agreements for key people.","Without non-competes, key employees (and the seller) can walk to a competitor after close — so buyers require them.",all,NONCOMPETE_GAP,50
LEG,LEG-IPREG,"IP registrations, assignments & licenses","Registered and unregistered patents, trademarks, copyrights, and domains, with assignments to the company and any inbound/outbound licenses.","This is where a buyer confirms the IP the business runs on is actually owned and freely transferable.",all,,60
LEG,LEG-REG,"Regulatory correspondence & disclosures","Reports filed and significant correspondence with state or federal regulators over the last three years, and any material disclosures.","A hidden regulatory issue discovered late can derail a deal that was otherwise ready to close.",all,,70
