code,item_type,title,body,response_framework,data_needed,dimension_code,sub_score_code,severity,buyer_type,score_trigger,sort_order
AL-BQ-CONC,buyer_question,Customer Concentration,What happens to your revenue if this client does not renew or transitions their business?,"Address contract term remaining, relationship longevity, specific retention initiatives underway, and the alternative customer pipeline that offsets concentration risk.","Signed contract with remaining term. Evidence of relationship longevity. Customer diversification pipeline metrics.",CUS,CUS-TOP1,critical,all,70,10
AL-BQ-OWNER,buyer_question,Owner Dependence,Can this business operate without you at current performance levels?,"Describe the existing management team's functional coverage, in-progress SOP documentation, the transition plan timeline, and any period of parallel operation before close.","Org chart. SOP documentation index. Management team bios. Transition plan.",OPS,OPS-HOURS,critical,all,50,20
AL-BQ-ADDBACKS,buyer_question,Addback Substantiation,Can you substantiate the addbacks included in your EBITDA recast?,"Have documentation ready for every addback: invoices, receipts, W2s, third-party comp benchmarks, and a narrative for each item. Do not let this become a diligence surprise.","Itemized addback schedule. Supporting documentation per line item. Third-party comp benchmark for owner compensation.",FIN,FIN-ADDBACK,critical,financial,70,30
AL-BQ-RECURRING,buyer_question,Forward Revenue Visibility,What is the visibility into your forward revenue beyond the current backlog?,"Articulate pipeline conversion rate, average sales cycle, renewal rate for project clients who re-engage, and any subscription or retainer conversion initiatives.","Pipeline data. Historical win rate. Customer re-engagement history.",REV,REV-RECUR,high,all,70,40
AL-BQ-CONTRACTS,buyer_question,Informal Recurring Revenue,Your recurring revenue appears to be informal. What governs these relationships?,"Acknowledge, then describe the upgrade plan: in-progress contracting effort, renewal discussions underway, and historical evidence the relationships are sticky despite informal structure.","Written communication confirming the ongoing relationship. Timeline for formal contract execution.",REV,REV-DURABILITY,high,all,70,50
AL-BQ-SOPS,buyer_question,Process Documentation,How are your core operational processes managed and documented?,"Describe the current state of documentation, active documentation projects, and which processes have already been successfully delegated to team members.","SOP library, even partial. Evidence of successful delegation in prior periods.",OPS,OPS-SOP,high,all,70,60
AL-BQ-DEPTH,buyer_question,Management Bench Strength,Who runs each function if a senior leader leaves during or after the transition?,"Map each function to a named owner, note tenure and decision authority, and describe the succession coverage for any single-point-of-failure role.","Org chart with decision authority. Role descriptions. Succession notes for key functions.",OPS,OPS-DEPTH,high,all,70,70
AL-BQ-NONCOMPETE,buyer_question,Key Employee Retention,What retains your key employees post-close?,"Describe current compensation relative to market, any equity or retention program, and relationship-based retention factors. Acknowledge gaps and present a timeline for non-compete execution.","Employment agreements. Comp benchmarking. Any retention bonus plans.",MGT,MGT-NC,high,all,70,80
AL-BQ-REVDECLINE,buyer_question,Revenue Decline Narrative,Walk us through the revenue decline. What caused it and what changed?,"Prepare a specific narrative: external factors, internal response, and evidence the root cause is resolved. Do not generalize; buyers hear generalization as evasion.","Year-over-year revenue by customer. Evidence of corrective action. Current period data showing recovery.",REV,REV-GROWTH,med,all,50,90
AL-BQ-CHURN,buyer_question,Customer Retention,"What is your customer retention rate, and how do you measure it?","Present net revenue retention with its definition, the trend over three years, and the initiatives driving expansion or reducing churn.","Retention and expansion metrics by cohort. Definition of the retention measure used.",REV,REV-NRR,med,all,70,100
