code,dimension_code,prompt,answer_type,options,scored,sort_order
REV-RECUR-PCT,REV,What percentage of TTM revenue is contractually recurring or subscription/retainer based?,numeric,,True,1
REV-TOP5-SHARES,REV,"List the top five customers' share of TTM revenue as percentages, largest first.",numeric_list,,True,2
REV-CONTRACT-CUST-PCT,REV,"What percentage of active customers have a signed contract, MSA, or retainer in place?",numeric,,True,3
REV-CONTRACT-AVG-MO,REV,"Average remaining contract term across contracted customers, in months.",numeric,,True,4
REV-ANNUAL,REV,Annual revenue for each of the last four fiscal years.,numeric_list,,True,5
REV-NRR,REV,Revenue retention on recurring revenue for the most recent year (%). Enter 'unknown' if not tracked.,numeric_or_unknown,,True,6
REV-STREAMS-CTX,REV,Walk through the top three revenue streams: stability and what would cause each to decline.,text,,False,7
REV-PRICING-CTX,REV,How would revenue be impacted by a 10-15% price increase?,select,minimal_churn|some_churn|major_churn|unknown,False,8
REV-FOUNDER-CTX,REV,Which revenue streams depend on the founder's personal relationships?,text,,False,9
BIZ-AGE-YEARS,REV,How many years has the business been operating?,numeric,,False,10
REV-MODEL,REV,Which best describes the revenue model?,select,recurring|mixed|transactional_project|asset_rental,False,11
FIN-RECON,FIN,How often are books reconciled against bank statements?,select,monthly|quarterly|annual|none,True,1
FIN-ADDBACK-DOC,FIN,"How well documented are EBITDA addbacks (owner comp basis, personal expenses, one-time items)?",select,fully_documented|mostly_documented|partially_documented|undocumented,True,2
FIN-BASIS,FIN,Accounting basis and revenue recognition consistency.,select,accrual_consistent|cash_with_bridge|cash_mixed|unreconcilable,True,3
FIN-STATEMENTS,FIN,Which financial statements are produced and internally consistent?,select,all_three|pl_and_bs|pl_only|spreadsheet_only,True,4
FIN-CASHFLOW-13WK,FIN,Are you producing a rolling 13-week cash flow forecast?,select,yes|no,False,9
FIN-CASHFLOW-CYCLICAL,FIN,Is your cash flow cyclical or seasonal?,select,yes|no,False,10
FIN-HISTORY-CTX,FIN,Is 36+ months of financial history available?,select,yes_clean|yes_gaps|no,False,5
FIN-RELPARTY-CTX,FIN,"Describe any related-party transactions (owner-affiliated rent, family salaries, affiliated vendors).",text,,False,6
FIN-ONETIME-CTX,FIN,Describe any one-time revenue items or non-recurring expenses in the reported period.,text,,False,7
FIN-DECLINE-CTX,FIN,"If revenue declined in any year before recovering, explain the decline and what changed.",text,,False,8
OPS-OWNER-HOURS,OPS,"Owner hours per week in day-to-day operations (not strategy, not external).",numeric,,True,1
OPS-SOP-PCT,OPS,"Percentage of core processes with written SOPs (sales, delivery, onboarding, invoicing, vendor mgmt).",numeric,,True,2
OPS-MGR-COUNT,OPS,How many core functions have a qualified manager who could run it without the owner?,numeric,,True,3
OPS-FUNC-COUNT,OPS,"How many core business functions does the company have (default four: sales, delivery, finance, operations)?",numeric,,True,4
OPS-AUTO-PCT,OPS,"Percentage of repetitive tasks (invoicing, reporting, scheduling) handled by systems rather than people.",numeric,,True,5
OPS-90DAY-CTX,OPS,What happens to the business if the owner is unavailable for 90 days?,text,,False,6
OPS-POSTCLOSE-CTX,OPS,Owner's intended post-close role and transition plan.,text,,False,7
OPS-KEYREL-CTX,OPS,Which customer relationships are personally owned by the founder vs institutionally managed?,text,,False,8
OPS-LICENSE-DEP,OPS,"Does operating the business depend on a license, certification, CON, or franchise that may not transfer automatically to a buyer?",select,no|transfers_easily|requires_requalification|may_not_transfer,False,9
CUS-TENURE,CUS,"Average length of an active customer relationship, in years.",numeric,,True,1
CUS-REV-CONTRACT-PCT,CUS,Percentage of active revenue covered by formal contracts.,numeric,,True,2
CUS-CHURN,CUS,Annual revenue churn from recurring revenue (%).,numeric,,True,3
CUS-CLIENTS-CHURNED,CUS,Number of clients lost to churn in the last 12 months.,numeric,,False,7
CUS-COC-CTX,CUS,Any termination-for-convenience or change-of-control clauses in key customer contracts?,select,none|some_unreviewed|yes_material,False,4
CUS-SIGNALS-CTX,CUS,Have any customers given notice they are evaluating alternatives or reducing scope?,select,no|one_minor|yes_material,False,5
CUS-TOP5-CTX,CUS,Top five customers: names and contract terms with each.,text,,False,6
MGT-LAYERS,MGT,Management structure below the owner.,select,two_plus_layers|one_clear_layer|informal_partial|none_all_report_to_owner,True,1
MGT-NC-PCT,MGT,Percentage of key employees with signed non-compete/non-solicit agreements.,numeric,,True,2
MGT-COMP,MGT,Key-role total compensation vs market median.,select,within_15pct|below_15_25pct|below_25pct_plus|above_25pct_plus,True,3
MGT-TURNOVER,MGT,"Voluntary annual turnover rate for non-owner employees (%), trailing 3 years.",numeric,,True,4
MGT-FLIGHT-CTX,MGT,Has any key manager indicated they would leave in the event of an acquisition?,select,no|unknown|yes,False,5
EMPLOYEE-COUNT,MGT,How many non-owner employees does the business have (full-time equivalent)?,numeric,,False,7
MGT-CFO-CTX,MGT,"Who is responsible for the numbers (CFO, controller, bookkeeper, owner)?",text,,False,6
GRW-PIPELINE,GRW,"Estimated dollar value of qualified pipeline (identified need, budget, timeline). Enter 0 if no formal pipeline.",numeric,,True,1
GRW-POSITIONING,GRW,"Market positioning: defined ideal customer profile, clear differentiation, repeatable sales motion.",select,strong_defined|moderate|undifferentiated_unclear,True,2
GRW-REPEAT-PCT,GRW,"Percentage of revenue from standardized, repeatable offerings vs fully custom work.",numeric,,True,3
GRW-INVEST-CTX,GRW,What investments are required to sustain current growth?,text,,False,4
GRW-EXPAND-CTX,GRW,"Untapped markets or geographies, and what limits expansion?",text,,False,5
GOL-STAY,GOL,Do you want to stay on or leave after selling?,select,stay_longterm|transition_period|leave_immediately,False,1
GOL-PATH,GOL,Rank your preferred exit paths from most to least preferred.,rank,third_party|mgmt_employee|partner|family|step_back_retain,False,2
GOL-PRIORITIES,GOL,Rank outcome priorities.,rank,max_price|protect_employees|legacy|family_ownership|exit_quickly|reduce_risk|ongoing_income,False,3
GOL-TIMELINE,GOL,How quickly do you want to exit?,select,under_12mo|one_2yr|two_3yr|three_plus_yr,True,4
PFN-DEPEND,PFN,How dependent is your future lifestyle on achieving a specific sale price? (1 fully dependent - 5 not dependent),scale_1_5,,True,1
PFN-OUTSIDE,PFN,Do you have sufficient assets outside the business to retire?,select,yes|mostly|partially|no,True,2
PFN-INCOME-CTX,PFN,Do you expect ongoing income from the business post-exit?,select,none_expected|earnout|seller_note|consulting|equity_rollover,False,3
PFN-DEBT,PFN,"Are personal debt, guarantees, and lifestyle expenses consistent with your exit timeline?",select,yes|minor_issues|significant_issues,True,4
VAL-LASTVAL,VAL,When was the business last professionally valued?,select,within_12mo|one_3yr|over_3yr|never,True,1
VAL-CONF,VAL,How confident are you that business value supports your personal goals? (1-5),scale_1_5,,True,2
VAL-SEP,VAL,Are personal expenses separate from the business?,select,fully|mostly|mixed,True,3
VAL-ASSETS-CTX,VAL,Significant assets that may need separate valuation?,select,none|real_estate|ip|equipment|other,False,4
